customer_unique_id,frequency,monetary,freight_paid,units,first_order_date,last_order_date,avg_review_score,accounts,states,recency_days,tenure_days,avg_order_value,customer_city,customer_state,customer_region,top_category
0a0a92112bd4c708ca5fde585afaa872,1,13440.0,224.08,8,2017-09-29 15:24:52,2017-09-29 15:24:52,1.0,1,1,333,0,13440.0,Rio De Janeiro,RJ,Southeast,Technology
da122df9eeddfedc1dc1f5349a1a690c,2,7388.0,183.63,2,2017-04-01 15:58:40,2017-04-01 15:58:41,5.0,2,1,514,0,3694.0,Araruama,RJ,Southeast,Appliances
763c8b1c9c68a0229c42c9fc6f662b93,1,7160.0,114.88,4,2018-07-15 14:49:44,2018-07-15 14:49:44,1.0,1,1,45,0,7160.0,Vila Velha,ES,Southeast,Technology
dc4802a71eae9be1dd28f5d788ceb526,1,6735.0,194.31,1,2017-02-12 20:37:36,2017-02-12 20:37:36,5.0,1,1,562,0,6735.0,Campo Grande,MS,Central-West,Home & Furniture
459bef486812aa25204be022145caa62,1,6729.0,193.21,1,2018-07-25 18:10:17,2018-07-25 18:10:17,1.0,1,1,34,0,6729.0,Vitoria,ES,Southeast,Technology
ff4159b92c40ebe40454e3e6a7c35ed6,1,6499.0,227.66,1,2017-05-24 18:14:34,2017-05-24 18:14:34,5.0,1,1,461,0,6499.0,Marilia,SP,Southeast,Sports & Leisure
4007669dec559734d6f53e029e360987,1,5934.6,146.94,6,2017-11-24 11:03:35,2017-11-24 11:03:35,1.0,1,1,278,0,5934.6,Divinopolis,MG,Southeast,Industry & Construction
eebb5dda148d3893cdaf5b5ca3040ccb,1,4690.0,74.34,1,2017-04-18 18:50:13,2017-04-18 18:50:13,4.0,1,1,497,0,4690.0,Maua,SP,Southeast,Appliances
48e1ac109decbb87765a3eade6854098,1,4590.0,91.78,1,2018-06-22 12:23:19,2018-06-22 12:23:19,5.0,1,1,68,0,4590.0,Joao Pessoa,PB,Northeast,Technology
a229eba70ec1c2abef51f04987deb7a5,1,4400.0,45.5,2,2018-05-31 22:57:07,2018-05-31 22:57:07,5.0,1,1,89,0,4400.0,Niteroi,RJ,Southeast,Fashion & Accessories
edde2314c6c30e864a128ac95d6b2112,1,4399.87,113.45,1,2018-08-03 21:10:16,2018-08-03 21:10:16,5.0,1,1,25,0,4399.87,Sao Paulo,SP,Southeast,Technology
fa562ef24d41361e476e748681810e1e,1,4099.99,75.27,1,2018-03-29 10:31:29,2018-03-29 10:31:29,5.0,1,1,153,0,4099.99,Bom Jesus Do Galho,MG,Southeast,Technology
c8460e4251689ba205045f3ea17884a1,4,4080.0,575.8800000000001,24,2018-08-07 09:03:02,2018-08-08 14:27:15,4.0,4,1,21,1,1020.0,Porto Alegre,RS,South,Technology
ca27f3dac28fb1063faddd424c9d95fa,1,4059.0,104.51,1,2018-07-29 08:39:48,2018-07-29 08:39:48,4.0,1,1,31,0,4059.0,Nova Lima,MG,Southeast,Sports & Leisure
011875f0176909c5cf0b14a9138bb691,1,3999.9,17.01,1,2017-03-18 20:08:04,2017-03-18 20:08:04,5.0,1,1,528,0,3999.9,Sao Paulo,SP,Southeast,Fashion & Accessories
edf81e1f3070b9dac83ec83dacdbb9bc,1,3999.0,195.76,1,2017-04-18 20:37:26,2017-04-18 20:37:26,2.0,1,1,497,0,3999.0,Brasilia,DF,Central-West,Appliances
5e713be0853d8986528d7869a0811d2b,1,3980.0,62.74,1,2017-02-04 18:54:15,2017-02-04 18:54:15,5.0,1,1,570,0,3980.0,Belem,PA,North,Other
f0767ae738c3d90e7b737d7b8b8bb4d1,1,3930.0,49.55,1,2018-05-14 15:15:30,2018-05-14 15:15:30,4.0,1,1,106,0,3930.0,Rio De Janeiro,RJ,Southeast,Sports & Leisure
58483a1c055dfb600f57c5b867174542,1,3899.0,135.44,1,2018-06-05 12:45:17,2018-06-05 12:45:17,5.0,1,1,85,0,3899.0,Jundiai,SP,Southeast,Sports & Leisure
3fec1a05177762f279472253113d568a,1,3700.0,92.59,1,2018-03-21 15:06:34,2018-03-21 15:06:34,5.0,1,1,160,0,3700.0,Recife,PE,Northeast,Fashion & Accessories
5d09b0d82126457e2a8ebfb9c9a1ffc4,1,3699.99,36.23,1,2017-02-10 10:19:22,2017-02-10 10:19:22,4.0,1,1,565,0,3699.99,Brasilia,DF,Central-West,Technology
bc5e25094a7d51b6aee35236572e64f4,1,3690.0,136.8,1,2018-01-26 14:30:21,2018-01-26 14:30:21,5.0,1,1,215,0,3690.0,Para De Minas,MG,Southeast,Sports & Leisure
931eabdf0636b8fd60369a8d759917d6,1,3597.0,69.42,3,2017-05-10 15:05:47,2017-05-10 15:05:47,5.0,1,1,475,0,3597.0,Gaspar,SC,South,Technology
03796b63235e0e0a299084988c662c7e,1,3549.0,53.47,1,2017-02-21 18:35:38,2017-02-21 18:35:38,5.0,1,1,553,0,3549.0,Brasilia,DF,Central-West,Technology
59d66d72939bc9497e19d89c61a96d5f,2,3459.0,100.99000000000001,2,2017-03-02 12:13:18,2017-08-10 22:09:50,5.0,2,1,383,161,1729.5,Sao Paulo,SP,Southeast,Sports & Leisure
